Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG
Date,,,,,,,,,,
2022-01-01,171.607177734375,139.1495361328125,179.79392591462056,151.55546166712168,147.51868928067418,124.19571267862281,174.77180358544064,143.95824702444045,5916762400,1985580000
2022-04-01,134.5399627685547,108.98091888427734,175.64393270333758,143.52803723389337,126.98241469692088,101.84207205574612,171.2550420372049,139.50872655315624,5837935700,1909558000
2022-07-01,136.19619750976562,95.8057632446289,173.5959471045035,122.81870405397483,133.69303227886348,95.68619013443349,134.06751232971718,107.94912756056073,5042087800,1602721200
2022-10-01,128.22396850585938,88.4123306274414,155.4319724320066,104.72371759818569,124.21728759951323,83.15122779120719,136.39526319604605,96.87193245049495,5268718600,1686571900
2023-01-01,163.00474548339844,103.6276626586914,163.10360218475518,108.43040595090525,122.74287263411779,85.26364482768818,128.78264905168987,89.50839544594392,4271118000,2006055700
2023-04-01,192.03338623046875,120.53689575195312,192.53828890351255,129.08617884549093,158.1847400339843,102.01344904928787,162.629916884113,102.30241168275197,3541966300,1603374400
2023-07-01,169.735107421875,131.37794494628906,196.52233105324945,139.42900282962702,166.17602220423012,115.41529692263781,192.11066888154457,119.88921929539939,3656092400,1378532800
2023-10-01,191.129150390625,140.42543029785156,198.16755991083218,143.4296504877666,164.46458316111438,121.02514384324385,169.97420438727892,131.6818529345172,3335080500,1402572400
2024-01-01,183.2994842529297,141.29232788085938,195.20799785283305,154.64434685460026,179.09473338029537,136.36005300943356,186.0330720966393,139.10020740513227,1187219300,428771200
