date,cash,investments_value,total_value,daily_return,cash_allocation,realized_gains_losses,max_drawdown
2020-01-02,532.4999999999984,99467.48809999996,99999.98809999996,0.0,0.5325000633675062,"(0,)",0.0
2020-01-31,58.72999999999906,106227.9569,106286.6869,6.286699548117292,0.05525621478375299,"(np.float64(-335.5),)",0.0
2020-03-02,92.17999999999833,109587.421,109679.601,3.1922286778891085,0.08404479881359009,"(np.float64(-1477.27),)",0.0
2020-04-01,-0.14000000001215085,95145.43859999998,95145.29859999997,-13.251600359122417,-0.00014714337131961126,"(np.float64(-13846.349999999997),)",-13.251600359122417
2020-05-01,44.0299999999877,113067.9259,113111.95589999999,18.88338947311898,0.03892603540417402,"(np.float64(-13846.349999999997),)",-13.251600359122417
2020-06-01,47.08999999998834,126471.42360000002,126518.5136,11.852467401282052,0.03721984922212075,"(np.float64(-13846.349999999997),)",-13.251600359122417
2020-07-01,749.5962000000022,141256.87989999994,142006.47609999994,12.241657018645169,0.5278605740995517,"(np.float64(7253.527800000005),)",-13.251600359122417
2020-07-31,207.49619999999976,154673.86000000002,154881.3562,9.066403486368934,0.1339710634584434,"(np.float64(-20651.042199999996),)",-13.251600359122417
2020-09-01,48.93619999999963,185447.83220000003,185496.76840000003,19.76700937488305,0.02638116039546036,"(np.float64(-20656.322199999995),)",-13.251600359122417
2020-10-01,-0.5742000000018379,176727.6058,176727.0316,-4.727703277875561,-0.00032490785071378857,"(np.float64(-18691.805199999995),)",-13.251600359122417
2020-11-02,18.46580000000037,173592.5664999999,173611.0322999999,-1.7631707338653047,0.010636305628372431,"(np.float64(-19043.375199999995),)",-13.251600359122417
2020-12-01,45.6758,197342.61280000003,197388.28860000003,13.695705845993134,0.023140076001449253,"(np.float64(-19043.375199999995),)",-13.251600359122417
2020-12-31,-0.5140999999837277,206177.43210000003,206176.91800000006,4.452457368334484,-0.0002493489596074608,"(np.float64(-4774.398300000023),)",-13.251600359122417
2021-02-01,-0.5374999999834813,214822.46269999992,214821.92519999994,4.19300437888972,-0.0002502072353569437,"(np.float64(-4720.481900000021),)",-13.251600359122417
2021-03-01,38.40250000001689,222513.64369999993,222552.04619999995,3.5983854966401774,0.01725551422946966,"(np.float64(-5804.571900000017),)",-13.251600359122417
2021-04-01,0.6333000000150548,229409.86669999998,229410.5,3.0817302815704384,0.0002760553680041039,"(np.float64(-2684.6460000000225),)",-13.251600359122417
2021-04-30,40.91330000001547,246537.2546000001,246578.16790000012,7.483383672499788,0.01659242598339358,"(np.float64(-2988.286000000022),)",-13.251600359122417
2021-06-01,47.0033000000153,249795.62329999998,249842.6266,1.3239041914383076,0.018813162765562802,"(np.float64(-3036.4260000000213),)",-13.251600359122417
2021-07-01,-0.1038999999848329,270866.14149999997,270866.0376,8.414661375482035,-3.8358444973550615e-05,"(np.float64(4314.674699999981),)",-13.251600359122417
2021-08-02,42.16610000001585,281739.59190000006,281781.7580000001,4.029933208577385,0.014964098563121263,"(np.float64(4237.104699999982),)",-13.251600359122417
2021-09-01,50.81610000001607,299600.19590000005,299651.01200000005,6.341522647466746,0.01695842762580627,"(np.float64(4231.6246999999785),)",-13.251600359122417
2021-10-01,0.5126000000160502,290657.9535,290658.4661,-3.001006350681046,0.0001763581866009339,"(np.float64(4493.91609999998),)",-13.251600359122417
2021-11-01,45.77260000001545,321522.8986000001,321568.6712000001,10.634544905829625,0.014234160258586606,"(np.float64(4265.136099999974),)",-13.251600359122417
2021-12-01,41.732600000015154,328947.11979999987,328988.85239999986,2.3074950592387733,0.012685110664258838,"(np.float64(3571.2060999999885),)",-13.251600359122417
2021-12-31,-0.3593999999893214,342954.9794000002,342954.62000000017,4.245058000634039,-0.00010479520584656977,"(np.float64(12336.284699999997),)",-13.251600359122417
