date,cash,investments_value,total_value
2024-01-02,1147.3849754333496,98852.61502456665,100000.0
2024-02-01,1484.8613243103027,109259.23551559448,110744.09683990479
2024-03-01,1261.767162322998,125609.34869384766,126871.11585617065
2024-04-01,1421.2938499450684,134883.62350463867,136304.91735458374
2024-05-01,1018.7747688293457,135264.22397613525,136282.9987449646
2024-05-31,978.638843536377,153248.8914489746,154227.530292511
2024-07-01,1087.2900886535645,174003.29708862305,175090.5871772766
2024-08-01,806.1446113586426,169143.81845092773,169949.96306228638
2024-09-03,933.9396858215332,172949.6767578125,173883.61644363403
2024-10-01,868.6972465515137,188416.76248168945,189285.45972824097
2024-11-01,1026.028652191162,199251.74844360352,200277.77709579468
2024-12-02,1185.3361930847168,213017.97875976562,214203.31495285034
2025-01-02,1254.29398727417,231059.4042816162,232313.69826889038
2025-01-31,1178.9472618103027,238739.70036315918,239918.64762496948
2025-02-28,800.7721214294434,229761.81701660156,230562.589138031
2025-03-10,7619.032085418701,204960.0785369873,212579.110622406
